INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?1', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들38', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?39', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들40', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?41', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들42', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?43', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들44', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?45', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들46', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?47', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들48', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?49', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들50', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?51', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들52', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?53', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들54', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?55', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들56', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?57', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들58', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?59', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들60', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?61', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들62', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?63', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들64', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?65', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들66', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?67', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들68', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?69', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들70', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?71', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들72', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?73', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들74', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?75', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들76', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?77', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들78', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?79', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들80', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?81', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들82', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?83', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들84', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?85', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들86', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?87', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들88', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?89', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들90', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?91', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들92', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?93', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들94', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?95', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들96', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?97', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들98', '오늘 점심 뭐 먹지', 'test', 'qna');
INSERT INTO board(title, content, id, type) VALUES('티켓 어디서 팖?99', '티켓 어디서 파나요??', 'dldldl', 'qna');
INSERT INTO board(title, content, id, type) VALUES('내가 하고 싶은 일들100', '오늘 점심 뭐 먹지', 'test', 'qna');
